Sl,Code,Prof Name,Prof,Co-supervisor,Topic / Title of Seminar-cum-BTP,Domain / Area,No. of Students,"Brief Description (For no description, contact the professor)",
,AG2,Arobinda Gupta,,,Networks,Networks,1,Networks,
5,BM1,Bivas Mitra,BM,,Mining signed networks in social media,"social networks, ML, Network representation",1,"Signed social networks such as Epinions, Slashdot etc. represent a class of social networks where edges are labeled with positive as well as negative signs. Edges with positive signs represent friendship whereas those with negative signs represent enmity between corresponding pair of users in a signed social network. While the problem of mining unsigned social networks containing only positive links has been extensively studied over the years, methods used for mining unsigned networks cannot be simply extended for mining signed networks due to the existence of negative links. Research shows that negative links have significant added value over positive links for various analytical tasks in signed networks. The collective properties of positive and negative links can be explained by social theories such as balance theory and status theory. In this project, our aim will be to leverage on these social theories to learn a low-dimensional vector representation of nodes such that the learned representation can be used as input to various mining tasks in signed social networks such as community detection, link prediction and studying the process of information diffusion over a signed network.",
,BM2,Bivas Mitra,,,Dynamics of information diffusion in Twitter,"Social networks, Complex networks, ML",1,"Twitter is currently one of the most popular microblogging platforms for the dissemination of information in the form of messages called tweets. Users can reshare tweets with their own set of followers via retweets that exposes the tweet content to followers who can in turn further retweet the post leading to the formation of an information cascade. In this way, information diffusion takes place over the underlying follower network of Twitter. Study of the dynamics of information diffusion in Twitter can benefit a number of applications such as community detection, identification of highly influential users and viral marketing among others. Whereas majority of previous works have relied on network topology to explain the mechanism behind diffusion of information, temporal data available in cascades can be used to model the diffusion dynamics of a tweet over different parts of the Twitter network. In this project, we aim to leverage on temporal pattern of retweets to identify key users in the network that are influential in maximizing the spread of a cascade to a larger audience without requiring the information of the complete follower network.
",
,BM3,Bivas Mitra,,,MindMap : A Smartphone based Application for Mental Health Monitoring,"Mobile computing, ML",1,"The objective of this project is to develop a smartphone based system, which can automatically identify different emotion states (say happy, sad, stressed, relaxed) from input interactions (typing activity, swyping activity). The app monitors typing and swyping activity and also opportunistically asks for emotion ground truth by issuing survey questionnaire. Then it extracts different features from typing and swyping data and correlates them with the emotion ground truth to develop an emotion detection model. The model is constructed on the device itself. As smartphone is a resource-constrained device, it is required to develop suitable training strategies so that there is trade-off between energy consumed and accuracy obtained. Moreover, as the app collects data regarding typing and mental states, it provides useful insights on mental health for self-reflection to the user.
",
,BM4,Bivas Mitra,,,Deep learning based Venue recommendation for Meetup,"Deep learning, Social network",1,"In event based social networks such as Meetup, similar minded people form groups and host offline events. Hosting such events successfully is not a trivial task as there are many complex underlying dynamics contributing to the success of such an event (eg. topic of event, time of event, venue etc) . Choosing a proper venue for the event is one of the most important factors to make such an event successful. In this work we aim to propose a deep learning based venue recommendation system which an event-host can use to choose the venue for the next event. Alongside, we wish to make the recommendation system generic enough so that it can be used in similar scenarios in other social networks.",
,BM5,Bivas Mitra,,,Estimating the context using environmental signals,"Mobile computing, ubiquitous computing",1,"In recent years context sensing has been an essential component in the development of various smart environments. Context awareness helps in linking the environment of the user to the device he/she is using. This information can help us in designing various services that can be flexible as per the requirements of the user. Some of such services can be smart lighting, smart kitchens, and many others which can be combined to form larger projects like smart homes/cities. In this project, we will try to develop some mechanisms to estimate the context of a user/ group of users, using the environmental signals like light (of various frequencies), sound (both audible and ultrasound) and gaseous concentrations, etc. For all this, we may develop dedicated hardware along with the sensors present in smartphones.",
6,CM1,Chittaranjan Mandal,CM,,1) improving programs to utilise typing (2 students),Software engineering,2,"Manual and automatic introduction of typing, eg enumerated types",
,CM2,Chittaranjan Mandal,,,1) imState based modelling of programs (2 students),Software engineering / verification,2,Modelling and analysis of processes,
7,DSM1,Debasis Samanta,DSM,,Digitization of Doctors, hand written prescription,2,Digital convergence,Toward the development of intelligent medical system starting with digital form of the prescription writing.
,DSM2,Debasis Samanta,,,Cognitive load measurment using Brain Computing Interface,Human computrer interaction,2,Will be discussed with the interested students.,
,DSM3,Debasis Samanta,,,Digital signature with advanced Biometric-based crypto system,Security,2,Will be explained to the students  interested to to this project,
,DSM4,Debasis Samanta,,,Deep learning approaches to recommender system development,"Data Analytics, Machine learning, Deep learning",2,Will be explained to the students  interested to to this project,
8,DM1,Debdeep Mukhopadhyay,DM,,Hidden Vector Encryption: Exploration of New Design Techniques,Theoretical Cryptography,1,"The advent of cloud computing has enabled multiple clients to outsource storage and computation of large volumes of data on third-party provisioned infrastructure. However, risks of insider attacks/cross-VM escalation privileges often motivates clients to encrypt their data before transferring to the cloud. Searchable encryption is a technique that allows analytical operations on encrypted data without decrypting it. Searchable encryption is currently one of the most engrossing challenges in cryptography, with immense scope for both theoretical and practical explorations. 

Hidden Vector Encryption (HVE), introduced in 2007, is a public-key searchable encryption paradigm that allows conjunctive, range and subset queries over encrypted data. While several concrete constructions for HVE have been proposed till date, most of them use a cryptographic primitive called bilinear pairings. These schemes usually have security guarantees based on non-standard cryptographic assumptions. It is currently an open problem to construct HVE schemes in the public-key setting that do not use pairings.

The aim of this project is to design public-key HVE schemes that do not use pairings. While recent breakthrough works have provided some nice mathematical hints in this direction, the problem itself is unresolved and offers significant design challenges.

Skill sets expected: Background in group theory, abstract algebra, computational number theory, basic security and cryptographic notions",
,DM2,Debdeep Mukhopadhyay,,, Hardware Accelerators for Searchable Encryption,Cryptography and Hardware Design on FPGAs ,1,"The advent of cloud computing has enabled provisioning of computing resources and storage infrastructure to multiple clients on a given network anywhere across the globe. At the same time, it poses the risk of exposure of sensitive data to malicious agents via insider attacks/ corss-VM attacks/privilege escalations etc. Such attack vectors often cause clients to encrypt their data before offloading it to the cloud. Searchable encryption is a technique that allows data encryption while retaining the capability to perform analytic operations such as keyword search/phrase searches, which is not possible in traditional encryption schemes. Widespread deployment of such schemes require efficient implementations, and offers a great scope for hardware acceleration. The scope of hardware acceleration in searchable encryption has relatively unexplored in existing literature, but offers immense potential for fast and scalable designs.  

In this project, we aim to design efficient hardware accelerators and hardware-software co-proccesor based architectures for searchable encryption. The deliverables include RTL-level designs targeting the 7-series of Ultrascale FPGAs. The schemes would be subsequently deployed on clusters of multiple FPGAs, and tested for search performance on large-scale real-world databases.

Skill sets expected: Basic programming skills in C, RTL design skills in Verliog, basic background in cryptography

Optional Skill Sets: Group Theory, Abstract Algebra
",
,DM3,Debdeep Mukhopadhyay,,,Machine Learning Based Tools for Fault Attack ,Cryptography and Cryptanalysis,1,"Cryptography is ubiquitous in this modern world of information. Virtually everything, starting from our smartphones to next-gen automotive systems contain cryptographic modules implemented in hardware, software or both to ensure the security of all information processing tasks. Design and implementation of such cryptographic modules are however tricky as they themselves must be proven secured, both theoretically as well as at the implementation level. Even the implementations of well-known cryptographic schemes suffer from the threats of side-channel and fault-based attacks, which are nowadays found to be extremely potent and practical. 

The goal of this project is to develop a framework, which, given a block cipher implementation and  possible transient faults on it can identify those faults which may lead to a potential key-extraction attack. Identification and mitigation of such malicious faults are extremely important as they can be exploited by attackers. In order to construct such a framework, we shall be using machine learning extensively.  Exploration of various machine learning algorithms suitable for this context will be the second motivation of this project.     
Pre-requisites
WE EXPECT STUDENT PROFICIENT AND INTERESTED IN CODING. SKILLS IN MACHINE LEARNING IS NOT MANDATORY BUT PREFERABLE. 
",
,DM4,Debdeep Mukhopadhyay,,,Exploring Intel SGX and Core 9 Processor for Cache Attacks,Computer Architecture,1,"Cache Memories are available in computer architectures for reducing the access time of data. However the difference in timing between a cache hit and miss can lead to leakage of secret keys, through attacks which are called as cache attacks. In the SEAL Lab, we have been working from 2008 to develop several interesting forms of cache attacks, namely cache timing, cache access and cache trace.We have attacked several ciphers ranging from the popular AES to proprietary ciphers like Clefia, designed by SONY Corporations. These attacks are affected by the development of micro-architectures. In recent days, Intel has developed two new generation of architectures: 1) Intel SGX and 2) Intel I9. The former is Intel's response to privilege escalation attacks, where the adversary gains root access to compromise systems. This technology became popular from 2015 and was called  Software Guard Extensions (SGX) that creates secure containers, so called
enclaves, to protect applications against access from higher privileges, including the OS kernel. The I9 is a new micro architecture introduced by Intel which make major changes the cache subsystem, with a potential to thwart cache attacks. Both these platforms provide new opportunities of evaluation of the threat from cache timing, which the project would investigate. 

Interesting references:
1. http://www.sharcs-project.eu/m/documents/papers/a02-gotzfried.pdf

2. https://cyber.wtf/2017/07/18/new-cache-architecture-on-intel-i9-and-skylake-server-an-initial-assessment/

Requirement: Interest and skill set in Computer Architecture with some knowledge in Cryptography. Though mostly what is required is Programming skills and the patience to work with computer systems. ",
,DM5,Debdeep Mukhopadhyay,,,Block Chains for IoT,"Internet of Things, Cryptography",1,"Internet of Things(IoT) is a network of physical objects-devices, vehicles, build-
ings and other items which are embedded with electronics, software, sensors,
and network connectivity, which enables these objects to collect data and ex-
change data. We are all witnessing the growth of IoT at an astounding rate,
and it is believed to continue its momentum in future as well. However, there
are several challenges facing the IoT solutions which must be addressed to make IoT bigger, more secure and private.

Blockchain is a database that maintains a continuously growing set of data
records which is distributed in nature. There is no central or master computer
that holds the control of entire chain, and each node has a copy of the chain.
The chain is ever growing where only new records can be added and previous
records can't be changed (at least it will require astronomical amount of work).
When someone wants to add a transaction to the chain, all participating
nodes in the network will have to rst validate it. The condition for \validity
""depends on Blockchain system, and thus might differ from system to system.
However, it works on the principle of 'majority wins'. A set of valid trans-
actions is then bundled into a block, which gets sent to all the nodes in the
network. They, in turn, validate the new block based on the principle of `Proof
of Work'(POW). Each successive block contain a hash, which is a unique 
fingerprint of the previous block.

It is believed by many that the Blockchain may be the silver bullet to solve
many of the problems of current IoT and it may settle the security, privacy and
reliability concerns in IoT. To mention a few, Blockchains can be used to trace billions of connected devices, enable the processing of transactions and coordination between them. Thus, it can be used to overcome the scalability issue in IoT. Its decentralized nature eliminates single point failure concerns, and cryptographic protocols used in Blockchain would make consumer data secure
and private. 

However, the block chain brings forth several new challenges in the form of scalabililty, large storage requirement, and the fact that the IoT has several nodes with different processing powers. The present proposal looks at these challenges and investigates on how to make block chains more apt for IoT. Experimentations will be performed in the IoT lab on real devices and appliances. ",
,DM6,Debdeep Mukhopadhyay,,,Smart Meter Authentication,"Cryptography, Internet of Things",1,"Smart Grids are being promoted as the next generation electrical distribution systems. Smart meters are the end points of these grids, and are expected to 
perform transactions on behalf of the users for the electricity they consume. However, these meters brings forth unique opportunities of attacks, ranging from side channels to simple masquerading. Hence, a proper authentication is needed. 
In this project we aim to develop a new authenticated smart metering system for an efficient and secured electrical consumption by users. The smart meters will be developed on Internet of Things (IoT) chipsets, like Intel Edison boards, and would be integrated with actual distribution systems. 

Students with background in Cryptography with an affinity for hands-on work with electronic components desirable.",
9,DRC1,Dipanwita Roychaudhury,DRC,,Improving Bitcoin Security and Performance,Cryptography and Security,1,"Bitcoin is a decentralized cryptocurrency which facilitates secure online transactions. Bitcoin builds on a peer-to-peer network where users can submit transactions without intermediaries. A blockchain is a decentralized and distributed digital ledger that is used to record transactions across many computers so that the record cannot be altered retroactively without the alteration of all subsequent blocks and the collusion of the network. The original Bitcoin paper argues that transaction processing is secure and irreversible. However,  later researchers show a number of vulnerabilities like  transaction reversibility, double-spending, and strategic mining attacks etc.

In this project our task is to study the current security issues and to improve the security along with the enhancement of performance.
",
,DRC2,Dipanwita Roychaudhury,,,Design and  Implementation of Primitives   for  Post Quantum Cryptographic Algorithms ,Cryptography,1,"
Here's the one-minute introduction: ""Imagine that it's fifteen years from now. Somebody announces that he's built a large quantum computer. RSA is dead. DSA is dead. Elliptic curves, hyperelliptic curves, class groups, whatever, dead, dead, dead. So users are going to run around screaming and say 'Oh my God, what do we do?' Well, we still have secret-key cryptography, and we still have some public-key systems. There's hash trees. There's NTRU. There's McEliece. There's multivariate-quadratic systems. But we need more experience with these. We need algorithms. We need paddings, like OAEP. We need protocols. We need software, working software for these systems. We need speedups. We need to know what kind of key sizes to use. So come to PQCrypto and figure these things out before somebody builds a quantum computer.""  ( refer http://pqcrypto.org/).

Quantum computers will break today's most popular public-key cryptographic systems, including RSA, DSA, and ECDSA. We need next generation of cryptographic algorithms, the systems that resist quantum-computer attacks: in particular, post-quantum public-key encryption systems and post-quantum public-key signature systems. Solutions can be of hash-based cryptography, code-based cryptography, lattice-based cryptography, and multivariate cryptography. Mathematical foundations as well as implementation issues have to be explored. 

This project aims to design new primitives for the field of post-quantum cryptography. The project also aims to provide efficient implementation (software or hardware or both) of these new primitives.
",
,DRC3,Dipanwita Roychaudhury,,,Design and Analysis of Stream Cipher Resistant to Algebraic Attacks    ,Cryptography,1,"Since 2005 to till date, a number of research works on stream ciphers have been submitted to eStream project, http://www.ecrypt.eu.org/stream/  which are the guidelines of the state of the art design of standard ciphers. Immediately after the emergence of the ciphers, numerous research works on cryptanalysis have also been published and significant works have been included to the estream project. 
Several efficient algorithms for assessing the resistance of Boolean functions against algebraic and fast algebraic attacks have been implemented in LFSR-based stream ciphers.. These algorithms are demonstrated to be particularly efficient for symmetric Boolean functions. As an application it is shown that large classes of symmetric functions are vulnerable to fast algebraic attacks. 

In this project our aim is to study the existing algebraic attacks on one or more estream candidates and to provide resistance against conventional algebraic attacks. 

",
,DRC4,Dipanwita Roychaudhury,,,Design and Analysis of Symmetric Cryptography Primitives resistant to Side-channel Attacks,Cryptography,1,"In Symmetric Cryptography, the approach is either to design a new hardware optimized cipher (block or stream) from scratch or to modify the existing ciphers for their efficient implementation, software or hardware. Among the recent techniques some of the block ciphers like AES, 3-DES are very popular and are designed with good hardware performance and also optimized for software implementation. Stream ciphers are fast cryptographic primitives and mainly used for real life communication. The eStream project http://www.ecrypt.eu.org/stream/ provides a clear picture of state of the art stream ciphers. Numerous research works on cryptanalysis have also been published and significant works have been included to the variety of attacks against symmetric key algorithms. Among these attacks, side-channel attacks (SCA) are the most threatening in today’s scenario. 

This project aims to analyze one (or more) SCA on standard symmetric-key ciphers and to propose some new design resistant to those attacks.
",
10,ISG1,Indranil Sengupta,ISG,,Mapping logic functions to memristor crossbar arrays,Computer-aided design tool for synthesis and optimization,2,"Memristor is a new device that can be used to build non-volatile memory systems, and also to carry out logic operations. Memristors are very small in size, and can be fabricated in a crossbar array. The project concerns the development of algorithms for mapping logic functions into the crossbar arrays, and analyze the efficiency and performance. There is some research component in the work, and publications can result out of it.",
,ISG2,Indranil Sengupta,,,Design and development of a secure payment gateway,Security,2,"Online payment gateways have become very popular nowadays, with the number of people migrating to online transactions from conventional cash based transactions. Security issues become extremely important in such environments. The present project shall involve the analysis of some of the existing systems in use, and then proposing the design of a new system that will be suitable in the Indian context. A complete demonstrable tool is expected to come out of this work.",
,ISG3,Indranil Sengupta,,,Development of parallel algorithms for 3D memristor crossbar arrays,Algorithms and Architecture,2,"Memristor crossbar is an elegant way to design compact non-volatile memory systems using resistive-RAM technology. The crossbar can also be stacked vertically to create a three-dimensional structure, with scope of parallel operations in the various layers. Memristors can also be used to realize logic functions, and as such can be used to implement functional blocks. The present project concerns the development of parallel algorithms from some identified domain, and map them to 3D crossbar structure for parallel execution. There is some research component in the work, and publications can result out of it.",
11,JM1,Jayanta Mukhopadhyay,JM,,To be decided.,Computer Vision / Robotics,1,To be decided.,
,JM2,Jayanta Mukhopadhyay,,,To be decided,Computer Vision / Robotics,1,To be decided.,
12,KSR1,K Sreenivas Rao,KSR,,Development of Automatic SARGAM Analysis and Evaluation Tool ,Music Signal Processing/Pattern Recognition/Machine Learning,2,The objective of this project is to develop a tool/app for learning the basic notes (SARGAM) in different scales. The proposed tool will analyse the learners' vocal notes with respect to tonic and scale and provide the feedback to the learner for correcting his mistakes and improvisation. The performance of the proposed tool need to be thoroughly evaluated using music experts and their feedback can be incorporated for further improvisation of the proposed tool.,
,KSR2,K Sreenivas Rao,,,Unsupervised Clustering of Audio Documents ,Audio Signal Processing/Pattern Recognition/Machine Learning,2,"The objective of this project is to automatically segregate the large volumes of audio repositories into meaningful related documents. This involves extraction of robust features which are speaker/gender independent, accurate matching methods, efficient decision making strategies and clustering technologies. The proposed methods can be used for the sub-tasks such as keyword spotting, automatic capturing of keywords and creating content-based meta data.",
,KSR3,K Sreenivas Rao,,,,,,,
,KSR4,K Sreenivas Rao,,,,,,,
13,NG1,Niloy Ganguly,NG,,Use of Generative Adversarial Networks  for modelling competitive interactions among entities and Fake News Detection in social media,"Machine Learning, Social Computing",1,"Here we will explore how to model interactions among various entities in social media (e.g. hashtags, tweets, people etc) using GANs. Often the element of competition exists between these entities. For instance, a popular hashtag can suppress the popularity of other hashtags. There also exist user-user competitive interactions (e.g. rival news channels compete for popularity). We wish to discover the nature of these competitive interactions and effectively model it using the GAN framework which involves adversarial interactions between a generator model and a discriminator model. Further, we wish to use deep learning to extract features which can differentiate between genuine and fake news articles. Our idea is to create a strong discriminator which can identify which news article is genuine and which is fake, along with a generator which can generate fake news articles to try and fool the discriminator.",
,NG2,Niloy Ganguly,,,Detecting and preventing clickbaits in online news media,"Social Computing, Systems Engineering, NLP",1,"Clickbait is defined as the content whose main purpose is to attract attention and encourage visitors to click on a link to a particular web page. Recently, clickbaits have garnered a lot of research interests, where the focus is mostly on detecting clickbaits, and sometimes on attempting to block clickbaits. However, the basic properties all these works use to identify clickbaits (and for curating the training data) are subjective which might vary from person too person. Additionally, the currently available clickbait data is also not large. In this project, we'll attempt to provide objective criteria to identify clickbaits, curate a large scale clickbait corpus and study clickbait properties at much larger scale than any of the works performed before. We hope that such analysis will help in both detecting and preventing clickbaits in online news media.",
,NG3,Niloy Ganguly,,,Representation learning for temporal/dynamic graphs (social) and generation of plausible future connection,"ML, Social Computing",1,"While working with social network data(or any dynamic network), it is not feasible to extract all the information online.  This project aims to learn the representation of a dynamic graph, given the previous history, and try to forecast the structure in future.  It would help in information propagation modelling.",
,NG4,Niloy Ganguly,,,"Effects of stress in physical health, fitness and retention","Affective Computing, Smart phone Computing",1,"Physical heath strongly correlates with mental health. With the advent of multitude of smart sensing devices, unprecedented volume of digital traces about the daily life activities of individuals and the environments can be obtained. Deriving useful analytics about human behavior from multiple sensing modalities and presenting it back to the individual can help in improving the individual’s lifestyle. Students undergo a lot of stress in their daily life regarding studies, lack of social support etc. The idea of this project is to assess stress among students and build a personalize model to motivate students towards physical fitness. There are ample cases where students start a daily exercise regime but drop-out of it often. This project will study the reasons of such behavior and accordingly build a feedback system to retain their motivation.

",
,NG5,Niloy Ganguly,,,"Identification of unreported clinical evidences for Systematic Reviews, clinical trials and online health resources","Health Informatics, NLP",1,"Systematic Reviews of clinical trials is a critical information source for practicing Evidence Based Medicine. We no longer rely on clinical trial registries to signal when the Systematic reviews have been outdated, due to the manual effort required to identify relevant clinical trials, in view of the rapidly increasing scientific literature. The clinical trial registries can be used to measure reporting biases and support systematic reviews but a major percent of registrations do not provide a link to the published article. We aim to identify unreported links of trials from ClinicalTrials.gov and also update the content of Systematic Reviews using the clinical evidences from publicly available clinical databases like PubMed, Embase, TRIP, BMJ Clinical Evidence, Cochrane Database of Systematic Reviews. We will employ graph-based similarity measures over the available clinical evidence, keeping in mind the variety of content and structure. We will then identify relevant clinical evidences for online health resources like health blog, discussion forum, wikis and determine their credibility based on already published evaluation metrics. Through this work, we aim to assist the practice of Evidence Based Medicine, reduce the reporting bias in online articles and help identify genuine online resource regarding health.
Remarks :
",
,NG6,Niloy Ganguly,,,Analyzing the effect of infrastructure changes in the habit of social media users,"Social Computing, NLP",1,"Recently Twitter has introduced significant changes in their underlying platform. On 7th November 2017, they increased the character limit of tweets from 140 characters to 280 characters. Then, on 9th November, they increased the length of the display name from 20 to 50 characters. In this work, we want to investigate how this changes are affecting the Twitter users. How are they using the increased space available both in tweets and in display names? Is there any new convention that is emerging because of these changes? The work would involve analyzing large amount of data. Good working knowledge of python is also required.",
14,PM1,Pabitra Mitra,PM,,Approximation Properties of Deep Learning Systems,Machine Learning Theory,1,Study of approximation and regularization properties of deep neural networks.,
,PM2,Pabitra Mitra,,,Reinforcement Learning for Robotics,Machine Learning,2,Develop RL agorithms for certain robotics tasks.,
,PM3,Pabitra Mitra,,,Deep Learning for Video Analytics,Computer Vision,2,Deep learning for computer vision tasks,
15,PDG1,Pallab Dasgupta,PDG,, Algorithms for safety analysis of intelligent control systems,embedded control systems,1,"Machine learning methods are being widely deployed in self-learning and adaptive embedded control systems.
Many of these intelligent applications are safety-critical in nature. Hence it is important to be able to analyze
the algorithms for machine learning from a safety perspective to ensure that the intelligent machine does not
do something that compromises the safety of the overall system. This project will aim to develop such systems
with applications in domains like autonomous driving and train control systems.",
,PDG2,Pallab Dasgupta,,,Developing software tools for hybrid system verification,"temporal logic, Hybrid automata",1,"Hybrid automata combine discrete state transitions (as in NFA/DFA) with continuous transitions (over a continuum of time). For example, the gear transmission system of a car is a hybrid system with
discrete gear positions and a continuous delivery of torque in each gear position. A large arsenal of tools are being developed for verifying properties of hybrid systems. In this project, the student will work with my
research group to participate in the ongoing development of a tool. The student may also work in an
ongoing research on developing algorithms for learning hybrid temporal logic properties from wave forms.",
16,PB1,Partha Bhowmick,PB,,Set cover problems in geometry,Algorithms and discrete maths,1,"The student has to study different NP-complete problems in geometry.
And then has to work on a new problem.
Required subjects: Algorithms and discrete maths.",
,PB2,Partha Bhowmick,,,Construction of well-defined Voronoi diagrams on voxelized surface,"Algorithms, discrete maths, computer graphics",1,"Voronoi diagram in real space is a well-studied problem.
However, its construction and applications for a discretized/voxelized surface are not yet explored much.
The student has to work on problems in the latter.
Required subjects: Algorithms, discrete maths, computer graphics.",
,PB3,Partha Bhowmick,,,Re-meshing by voxelization,"Algorithms, discrete maths, computer graphics",1,"3D mesh are used in Computer Graphics for different purposes.
These meshes are very large in size and often takes quite a long processing time.
Reduction of size is therefore necessary in some applications, which needs re-meshing. 
The student has to design and implement an algorithm for re-meshing based on voxelization.
Required subjects: Algorithms, discrete maths, computer graphics.",
,PB4,Partha Bhowmick,,,Digital art,"Algorithms, computer graphics, image processing",1,"Creation of digital art is a contemporary topic.
It comes up with many computational issues and mixing artistic sense with algorithms.
Few related links:
https://en.wikipedia.org/wiki/Digital_art
https://en.wikipedia.org/wiki/Algorithmic_art
http://cse.iitkgp.ac.in/~pb/research/circlism/

The student is expected to have a natural flair in fine arts and have knowledge in:
Algorithms, computer graphics, image processing.",
